sensor,timestamp,temperature
temp0,1652348788,70.114
temp0,1652348798,70.114
temp0,1652348808,70.114
temp0,1652348818,70.114
temp0,1652348828,70.601
temp0,1652348838,70.601
temp0,1652348848,70.601
temp0,1652348858,71.575
temp0,1652348868,71.575
temp0,1652348878,71.575
temp0,1652348888,70.114
temp0,1652348898,70.114
temp0,1652348908,70.114
temp0,1652348918,70.601
temp0,1652348928,70.601
temp0,1652348938,70.601
temp0,1652348948,69.627
temp0,1652348958,69.627
temp0,1652348968,69.627
temp0,1652348978,70.601
temp0,1652348988,70.601
temp0,1652348998,70.601
temp0,1652349008,70.601
temp0,1652349018,70.601
temp0,1652349028,70.601
temp0,1652349038,69.627
temp0,1652349048,69.627
temp0,1652349058,69.627
temp0,1652349068,70.114
temp0,1652349078,70.114
temp0,1652349088,70.114
temp0,1652349098,70.114
temp0,1652349108,70.114
temp0,1652349118,70.114
temp0,1652349128,70.601
temp0,1652349138,70.601
temp0,1652349148,70.601
temp0,1652349158,70.601
temp0,1652349168,70.601
temp0,1652349178,70.601
temp0,1652349188,71.08800000000001
temp0,1652349198,71.08800000000001
temp0,1652349208,71.08800000000001
temp0,1652349218,70.601
temp0,1652349228,70.601
temp0,1652349238,70.601
temp0,1652349248,71.575
temp0,1652349258,71.575
temp0,1652349268,71.575
temp0,1652349278,70.114
temp0,1652349288,70.114
temp0,1652349298,70.114
temp0,1652349308,70.601
temp0,1652349318,70.601
temp0,1652349328,70.601
temp0,1652349338,71.08800000000001
temp0,1652349348,71.08800000000001
temp0,1652349358,71.08800000000001
temp0,1652349368,70.601
temp0,1652349378,70.601
temp0,1652349388,70.601
temp0,1652349398,70.114
temp0,1652349408,70.114
temp0,1652349418,70.114
temp0,1652349428,70.114
temp0,1652349438,70.114
temp0,1652349448,70.114
temp0,1652349458,70.601
temp0,1652349468,70.601
temp0,1652349478,70.601
temp0,1652349488,69.627
temp0,1652349498,69.627
temp0,1652349508,69.627
temp0,1652349518,71.575
temp0,1652349528,71.575
temp0,1652349538,71.575
temp0,1652349548,70.114
temp0,1652349558,70.114
temp0,1652349568,70.114
temp0,1652349578,70.601
temp0,1652349588,70.601
temp0,1652349598,70.601
temp0,1652349608,70.114
temp0,1652349618,70.114
temp0,1652349628,70.114
temp0,1652349638,70.601
temp0,1652349648,70.601
temp0,1652349658,70.601
temp0,1652349668,71.08800000000001
temp0,1652349678,71.08800000000001
temp0,1652349688,71.08800000000001
temp0,1652349698,71.08800000000001
temp0,1652349708,71.08800000000001
temp0,1652349718,71.08800000000001
temp0,1652349728,70.601
temp0,1652349738,70.601
temp0,1652349748,70.601
temp0,1652349758,71.575
temp0,1652349768,71.575
temp0,1652349778,71.575
temp0,1652349788,71.575
temp0,1652349798,71.575
temp0,1652349808,71.575
temp0,1652349818,70.114
temp0,1652349828,70.114
temp0,1652349838,70.114
temp0,1652349848,71.08800000000001
temp0,1652349858,71.08800000000001
temp0,1652349868,71.08800000000001
temp0,1652349878,70.601
temp0,1652349888,70.601
temp0,1652349898,70.601
temp0,1652349908,71.575
temp0,1652349918,71.575
temp0,1652349928,71.575
temp0,1652349938,71.575
temp0,1652349948,71.575
temp0,1652349958,71.575
temp0,1652349968,71.08800000000001
temp0,1652349978,71.08800000000001
temp0,1652349988,71.08800000000001
temp0,1652349998,70.114
temp0,1652350008,70.114
temp0,1652350018,70.114
temp0,1652350028,70.114
temp0,1652350038,70.114
temp0,1652350048,70.114
temp0,1652350058,70.601
temp0,1652350068,70.601
temp0,1652350078,70.601
temp0,1652350088,70.601
temp0,1652350098,70.601
temp0,1652350108,70.601
temp0,1652350118,70.601
temp0,1652350128,70.601
