timestamp,usage,temperature
1652571268,16.15000000001602,49.66
1652571278,15.74999999997091,50.634
1652571288,15.799999999981097,51.608
1652571298,16.500000000014566,49.66
1652571308,11.000000000021853,50.147
1652571318,15.80000000001748,50.147
1652571328,16.05000000003203,49.66
1652571338,15.499999999992738,49.66
1652571348,16.15000000001602,50.3905
1652571358,14.850000000042222,51.121
1652571368,14.949999999953448,50.634
1652571378,15.000000000000018,50.634
1652571388,15.049999999973824,49.66
1652571398,9.049999999951993,50.634
1652571408,13.95000000000438,49.66
1652571418,14.249999999992745,49.173
1652571428,14.5499999999811,49.66
1652571438,14.449999999960731,49.66
1652571448,13.25000000000729,49.66
1652571458,15.399999999972366,49.66
1652571468,14.349999999976731,50.147
1652571478,13.549999999995652,49.4165
1652571488,8.450000000011656,49.66
1652571498,13.649999999979645,49.173
1652571508,13.700000000026208,49.173
1652571518,13.149999999986917,50.147
1652571528,13.24999999997091,50.147
1652571538,13.499999999985466,50.147
1652571548,12.850000000034939,49.66
1652571558,13.949999999931627,49.173
1652571568,12.999999999992738,49.66
1652571578,6.899999999986921,49.66
1652571588,12.5500000000102,50.147
1652571598,12.299999999995649,50.634
1652571608,12.050000000017477,50.634
1652571618,12.999999999956358,49.66
1652571628,12.5500000000102,50.147
1652571638,11.900000000023297,51.121
1652571648,12.600000000020387,50.634
1652571658,12.60000000002039,49.903499999999994
1652571668,5.600000000013111,51.3645
1652571678,12.299999999959269,50.147
1652571688,12.050000000017477,51.121
1652571698,11.750000000029116,51.121
1652571708,11.249999999927256,51.121
1652571718,11.299999999937445,51.608
1652571728,12.250000000021842,51.121
1652571738,11.449999999968,51.120999999999995
1652571748,11.749999999992738,51.608
1652571758,5.900000000001473,51.608
1652571768,10.29999999998838,51.121
1652571778,10.200000000004387,52.095
1652571788,10.199999999931627,52.338499999999996
1652571798,10.550000000002935,52.095
1652571808,10.699999999960728,52.095
1652571818,10.399999999972376,51.121
1652571828,11.600000000034942,51.608
1652571838,10.900000000037856,52.095
1652571848,7.249999999985469,52.582
1652571858,9.799999999995649,52.095
1652571868,9.899999999943265,51.608
1652571878,9.350000000013111,52.582
1652571888,9.549999999981097,53.069
1652571898,9.600000000027663,53.3125
1652571908,9.449999999997104,53.069
1652571918,9.349999999976731,52.095
1652571928,9.250000000065498,52.825500000000005
1652571938,7.000000000007297,53.069
1652571948,8.500000000021842,52.095
1652571958,8.650000000016021,52.582
1652571968,8.650000000016021,52.582
1652571978,8.95000000000438,53.069
1652571988,8.899999999957814,54.043
1652571998,8.40000000003785,53.069
1652572008,9.000000000050946,52.825500000000005
1652572018,9.549999999981097,53.556
1652572028,6.350000000020387,53.556
1652572038,7.700000000004383,53.069
1652572048,8.250000000043674,54.043000000000006
1652572058,7.850000000034942,53.556
1652572068,7.700000000004383,54.53
1652572078,8.25000000000729,53.069
1652572088,7.79999999998838,54.043
1652572098,7.749999999978186,53.556
1652572108,9.50000000000729,53.556
1652572118,6.199999999989828,54.043
1652572128,6.400000000030577,54.043
1652572138,7.299999999959276,54.043
1652572148,6.3500000000203904,54.53
1652572158,7.1499999999651,54.043
1652572168,6.949999999960731,54.043
1652572178,6.800000000002925,54.53
1652572188,6.700000000018939,54.043
1652572198,6.299999999973824,54.043
1652572208,5.9500000000480355,55.017
1652572218,5.250000000050946,54.043
